Namn;Namn;Namn;Namn;Namn;Namn;Namn
Blandade rätter;Inälvor organ produkter o rätter;;;;;
Blandade rätter;Korvrätter;;;;;
Blandade rätter;Köttprodukter kötträtter;;;;;
Blandade rätter;Osträtter;;;;;
Blandade rätter;Pannkakor, våfflor, crêpes;;;;;
Blandade rätter;Pastarätter;;;;;
Blandade rätter;Pizza paj pirog färdig smörgås;;;;;
Blandade rätter;Potatisprodukter potatisrätter;;;;;
Blandade rätter;Risrätter;;;;;
Blandade rätter;Välling;;;;;
Blandade rätter;Sojaprotein veteprotein Quorn produkter och rätter;;;;;
Blandade rätter;Sojaprotein veteprotein produkter och rätter;;;;;
Blandade rätter;Quorn produkter o rätter;;;;;
Blandade rätter;Söta soppor kräm o efterrättssås;;;;;
Blandade rätter;Soppa sås matig sallad;;;;;
Blandade rätter;Soppa sås matig sallad;Soppa mat;;;;
Blandade rätter;Soppa sås matig sallad;Sås dressing majonnäs ;;;;
Blandade rätter;Soppa sås matig sallad;Sallad blandad mat;;;;
Blandade rätter;Soppa sås matig sallad;Majonnässallad röror;;;;
Blandade rätter;Äggprodukter o rätter;;;;;
Blandade rätter;Övriga ospecificerade blandade rätter;;;;;
Blandade rätter;Sojaprotein veteprotein Quorn produkter och rätter;;;;;
Övriga grupper;;;;;;
Övriga grupper;Bakverk och diverse efterrätter;;;;;
Övriga grupper;Bakverk och diverse efterrätter;Bullar kakor tårtor mm;;;;
Övriga grupper;Bakverk och diverse efterrätter;Efterrätter;;;;
Övriga grupper;Dryck;;;;;
Övriga grupper;Dryck;Drycker sötade;;;;
Övriga grupper;Dryck;Drycker sötade;Mjölkdryck chokladdryck milkshake smothie m yoghurt;;;
Övriga grupper;Dryck;Drycker sötade;Lightdrycker u energi;;;
Övriga grupper;Dryck;Drycker sötade;Saft läsk cider u alkohol ;;;
Övriga grupper;Dryck;Drycker sötade;Sportdrycker energidrycker;;;
Övriga grupper;Dryck;Drycker sötade;Övriga sötade drycker vattenchoklad;;;
Övriga grupper;Dryck;Kaffe te;;;;
Övriga grupper;Dryck;Kaffe te;Kaffe;;;
Övriga grupper;Dryck;Kaffe te;Te;;;
Övriga grupper;Dryck;Kaffe te;Kaffe te med mjölk;;;
Övriga grupper;Dryck;Vatten mineralvatten;;;;
