Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%)
Höstpotatis kokt m salt,231,84.8,355,17.81,0.1,1.86,2.12,77.19,0,0.95,0.3,0.24,0.24,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5,0,0.12,1.4,0.06,0.02,17.2,1.86,2.16,0.2,0,18.6,42.8,8,0.35,4,322.7,19.1,84.6,0.21,0,0.2,11
Potatis m skal bakad u salt,233,91.4,382.4,19.4,0.1,1.7,2.5,75.3,0,1,0.5,0.1,0.1,0,,0.02,0,0,0,0.01,0,0,0,0,0,0.06,0.05,0.01,0,0,0,0,0,0,0,0,0,0.04,,0.06,0.03,9,1.8,2.08,0.3,0,9,46,,0.8,7,500,25,4,0.01,0.1,0.3,23
Potatis m skal bakad u salt i aluminiumfolie,234,88.8,371.4,18.1,0.6,1.5,2,76.8,0,1,0.3,0.2,0.2,0,,0.11,0,0,0,0.09,0.03,0,0.02,0.01,0.01,0.35,0.27,0.08,0,0,0,0,0,0,0,0,0,0.1,,0.05,0.04,10.5,2,2.25,0.14,0,9,35.5,,0.8,7,503,29,4,0.01,0.1,0.3,21
Potatis tärnad fryst,235,80.8,337.9,17.3,0.1,1.7,1.4,79,0,0.5,0.6,0.2,0.2,0,,0.02,0,0,0,0.01,0,0,0,0,0,0.06,0.05,0.01,0,0,0,0,0,0,0,0,0,0.04,,0.02,0.03,5,1.3,1.58,0.26,0,13,32,,0.7,8,346,13,25,0.06,0.1,0.3,0
Färskpotatis konserv,237,60.5,253.2,12.2,0.1,1.3,2.5,83,0,0.9,0.2,0.1,0.1,0,,0.02,0,0,0,0.01,0,0,0,0,0,0.06,0.05,0.01,0,0,0,0,0,0,0,0,0,0.1,,0.02,0.03,17,0.7,0.92,0.16,0,11,31,,0.7,11,230,10,260,0.65,0.1,0.3,0
Klyftpotatis u skal ugnsstekt m rapsolja,238,120.3,503.2,23.1,1.6,2.17,1.8,69.7,0,1.6,0.51,0.22,0.22,0,,0.14,0,0,0,0.09,0.03,0.01,0.92,0,0.89,0.47,0.34,0.13,0,0,0,0,0,0,0.7,9,0,0.41,2.3,0.06,0.04,18.8,2.37,2.7,0.27,0,28.9,94,18,0.32,6.5,594,30,132,0.33,5,0.27,0
Potatis råstekt,241,139.3,581.7,20.68,4.6,2.22,2.71,67.79,0,1.99,0.37,0.37,0.37,0,,0.44,0.01,0,0.01,0.26,0.1,0.02,2.62,0.02,2.54,1.23,0.87,0.35,0,0,0,0,0,12.9,14.2,15,0.19,1.2,,0.08,0.02,17.6,2.58,2.95,0.24,0,15.3,54.8,,0.47,6.6,473,27.4,357.1,0.9,0.06,0.28,
Potatis kokt o stekt,242,143.4,600.4,21.85,4.59,2.28,2.6,66.67,0,2.05,0.37,0.3,0.29,0,,0.44,0.01,0,0.01,0.26,0.1,0.02,2.61,0.02,2.53,1.23,0.87,0.35,0,0,0,0,0,12.8,14.1,15,0.19,1.26,,0.06,0.03,12.7,2.28,2.65,0.22,0,16,53.1,,0.44,6.2,396.1,23.7,455.9,1.14,0,0.25,
Pommes frites friterad potatis fett ca 7% fryst värmd i ugn,244,216.4,905.4,31.99,7.61,3.2,3.2,53,0,1,0.3,0.1,0.1,0,,2.83,0,0,0.07,2.13,0.55,0.03,3.87,0.01,3.84,0.58,0.53,0.05,0,0,0,0,0,0,0,0,0,1.3,,0.05,0.03,4,2.3,2.83,0.23,0,16.5,22,,0.9,9,515,86,3,0.01,0.1,0.4,0
Pommes frites friterad potatis fett ca 11% fryst,245,243.1,1017,30.6,11.4,3,3,51,0,1,0.4,0.1,0.1,0,,3.38,0,0,0.03,2.53,0.69,0.04,4.77,0,4.73,2.75,2.43,0.33,0,0,0,0,0,0,0,0,0,2,,0,0.03,4,3.3,3.8,0.24,0,16.5,93,,0.7,19,500,34,4,0.01,0.1,0.4,0
Pommes frites friterad potatis fett ca 17% gatukök,246,307.2,1285.2,32.6,17.5,3.5,3,41.5,0,1.9,0.3,0.1,0.1,0,,3.06,0,0.02,0.07,1.92,0.95,0.12,11.3,0.03,10.9,2.34,1.15,0.07,0,0,0,0,0,0,0,0,0,3,,0.18,0.03,4,3.2,3.78,0.24,0,11,93,,1,19,730,34,170,0.43,0.1,0.4,0
Kroppkakor el potatispalt m fläsk,248,169.1,707.4,22.8,5.7,5.7,1.5,62,0,2.3,0.4,0.2,0.2,0,,2.5,0.01,0.01,0.1,1.38,0.81,0.02,2.38,0.18,1.96,0.64,0.46,0.03,0.02,0.01,0.02,0.02,12,2,2,0,0.05,0.08,,0.2,0.09,0,2.2,3.25,0.22,0.3,12,82,,0.8,15,245,20,390,0.98,2,0.6,0
Pytt i panna gjutjärnsstekpanna hemlagad,249,138.6,580,13.9,6.2,6.3,0.9,71,0,1.7,0.9,0.3,0.3,0,,2.3,0.03,0.11,0.18,1.24,0.65,0.04,2.91,0.17,2.29,0.65,0.47,0.09,0.01,0,0,0,8,30,30.7,8,0.34,0.54,,0.11,0.11,1,2,3.16,0.3,0.2,6.5,89,,4.1,12,370,18,285,0.71,2,1.2,0
